Unemployment,Income inequality,FIPS,Air pollution - particulate matter,State,Population that is not proficient in English
0.091,,2016,,AK,0.078
0.088,3.907,2016,,AK,0.08
0.054,,2020,,AK,0.023
0.05,3.806,2020,,AK,0.023
0.152,,2050,,AK,0.046
0.154,4.539,2050,,AK,0.04
0.096,,2070,,AK,0.044
0.095,5.023,2070,,AK,0.042
0.062,,2090,,AK,0.008
0.058,3.939,2090,,AK,0.011
0.081,,2100,,AK,0.004
0.079,3.153,2100,,AK,0.003
0.049,,2110,,AK,0.01
0.046,3.147,2110,,AK,0.011
0.084,,2122,,AK,0.004
0.075,4.397,2122,,AK,0.003
0.068,,2130,,AK,0.008
0.061,3.804,2130,,AK,0.006
0.062,,2150,,AK,0.03
0.056,3.856,2150,,AK,0.034
0.075,,2164,,AK,0.008
0.074,4.691,2164,,AK,0.009
0.08,,2170,,AK,0.006
0.073,4.147,2170,,AK,0.006
0.116,,2180,,AK,0.016
0.117,5.043,2180,,AK,0.011
0.053,,2185,,AK,0.023
0.05,3.399,2185,,AK,0.019
0.151,,2188,,AK,0.013
0.152,4.526,2188,,AK,0.01
0.141,,2198,,AK,0.001
0.128,4.528,2198,,AK,0.001
0.056,,2220,,AK,0.014
0.052,3.987,2220,,AK,0.019
0.14,,2230,,AK,0.006
0.127,4.039,2230,,AK,0.004
0.112,,2240,,AK,0.017
0.111,4.848,2240,,AK,0.02
0.089,,2261,,AK,0.014
0.087,4.61,2261,,AK,0.014
0.215,,2270,,AK,0.019
0.221,4.014,2270,,AK,0.016
0.098,,2275,,AK,0.01
0.092,4.647,2275,,AK,0.008
0.147,,2290,,AK,0.005
0.148,5.635,2290,,AK,0.006
0.065,,1001,12.92,AL,0.004
0.057,4.172,1001,12.92,AL,0.005
0.068,,1003,13.13,AL,0.018
0.058,4.417,1003,13.13,AL,0.016
0.112,,1005,12.62,AL,0.022
0.1,5.474,1005,12.62,AL,0.022
0.076,,1007,12.87,AL,0.005
0.068,4.514,1007,12.87,AL,0.004
0.062,,1009,12.66,AL,0.028
0.056,3.984,1009,12.66,AL,0.023
0.134,,1011,12.75,AL,0.032
0.12,5.263,1011,12.75,AL,0.037
0.109,,1013,12.82,AL,0.002
0.093,5.1,1013,12.82,AL,0.002
0.076,,1015,12.89,AL,0.011
0.073,5.164,1015,12.89,AL,0.008
0.093,,1017,12.97,AL,0.005
0.073,5.28,1017,12.97,AL,0.003
0.071,,1019,12.93,AL,0.002
0.057,5.095,1019,12.93,AL,0.001
0.065,,1021,12.93,AL,0.021
0.058,4.538,1021,12.93,AL,0.021
0.09,,1023,12.82,AL,0.0
0.078,5.731,1023,12.82,AL,0.0
0.121,,1025,13.01,AL,0.001
0.108,7.181,1025,13.01,AL,0.001
0.093,,1027,12.92,AL,0.011
0.082,5.057,1027,12.92,AL,0.011
0.069,,1029,12.96,AL,0.007
0.062,5.241,1029,12.96,AL,0.006
0.062,,1031,12.61,AL,0.022
0.062,5.281,1031,12.61,AL,0.023
0.076,,1033,12.71,AL,0.006
0.068,4.765,1033,12.71,AL,0.007
0.116,,1035,12.86,AL,0.002
0.103,5.715,1035,12.86,AL,0.005
0.082,,1037,12.93,AL,0.004
0.081,5.005,1037,12.93,AL,0.006
0.075,,1039,12.71,AL,0.006
0.072,4.556,1039,12.71,AL,0.006
0.072,,1041,12.75,AL,0.012
0.063,5.659,1041,12.75,AL,0.012
0.064,,1043,12.53,AL,0.014
0.055,4.833,1043,12.53,AL,0.013
0.073,,1045,12.52,AL,0.011
0.071,5.052,1045,12.52,AL,0.013
0.137,,1047,12.93,AL,0.002
0.127,6.537,1047,12.93,AL,0.002
0.085,,1049,12.93,AL,0.047
0.07,4.385,1049,12.93,AL,0.04
0.068,,1051,12.91,AL,0.011
0.06,4.043,1051,12.91,AL,0.01
0.089,,1053,12.92,AL,0.001
0.08,5.475,1053,12.92,AL,0.002
0.072,,1055,12.79,AL,0.012
0.065,4.67,1055,12.79,AL,0.013
0.08,,1057,12.47,AL,0.001
0.073,5.197,1057,12.47,AL,0.001
0.082,,1059,12.27,AL,0.056
0.077,4.717,1059,12.27,AL,0.06
0.069,,1061,12.52,AL,0.013
0.065,4.838,1061,12.52,AL,0.011
0.114,,1063,12.87,AL,0.001
0.101,4.692,1063,12.87,AL,0.001
0.099,,1065,12.92,AL,0.004
0.099,5.396,1065,12.92,AL,0.004
0.073,,1067,12.46,AL,0.01
0.068,5.54,1067,12.46,AL,0.011
0.07,,1069,12.37,AL,0.007
0.062,5.014,1069,12.37,AL,0.008
0.071,,1071,13.16,AL,0.006
0.063,4.643,1071,13.16,AL,0.005
0.068,,1073,12.71,AL,0.017
0.06,5.352,1073,12.71,AL,0.016
0.076,,1075,12.4,AL,0.003
0.069,4.349,1075,12.4,AL,0.004
0.067,,1077,13.06,AL,0.009
0.061,4.983,1077,13.06,AL,0.009
0.081,,1079,12.54,AL,0.003
0.073,4.684,1079,12.54,AL,0.003
0.063,,1081,12.89,AL,0.016
0.052,5.968,1081,12.89,AL,0.017
0.062,,1083,13.02,AL,0.019
0.055,4.743,1083,13.02,AL,0.017
0.141,,1085,12.87,AL,0.002
0.119,5.697,1085,12.87,AL,0.002
0.098,,1087,12.83,AL,0.004
0.086,5.407,1087,12.83,AL,0.005
0.062,,1089,13.05,AL,0.014
0.055,5.003,1089,13.05,AL,0.013
0.094,,1091,12.98,AL,0.002
0.081,6.003,1091,12.98,AL,0.002
0.091,,1093,12.22,AL,0.005
0.079,4.433,1093,12.22,AL,0.003
0.07,,1095,12.73,AL,0.056
0.061,4.882,1095,12.73,AL,0.058
0.084,,1097,12.95,AL,0.012
0.075,5.235,1097,12.95,AL,0.011
0.123,,1099,12.96,AL,0.003
0.114,6.34,1099,12.96,AL,0.0
0.077,,1101,12.84,AL,0.019
0.069,5.38,1101,12.84,AL,0.019
0.07,,1103,12.6,AL,0.03
